Organization Name,Industries
Waycare,"Artificial Intelligence, Autonomous Vehicles, Government, GovTech, Intelligent Systems, Machine Learning"
UrbanPiper,"Information Services, Information Technology, Software"
Shipamax,"Data Center Automation, Information Technology, iOS, Messaging, Real Time, Shipping, Software, Supply Chain Management"
RYDE Technologies,"Internet, Mobile Apps, Software, Transportation"
GenomSys,Genetics
Stoplight,"Developer APIs, Developer Platform, Online Portals"
Instagrid,"Electronics, Manufacturing, Software"
AYLIEN,"Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing, Text Analytics"
Spoke Phone,"Mobile, Mobile Apps, Software, Telecommunications, VoIP"
Copper,Financial Services
Caspar Health,"Health Care, Home Health Care, mHealth, Rehabilitation"
Zakaz.ua,"Delivery, E-Commerce, Retail"
AdQuick,"Advertising, Advertising Platforms, E-Commerce, Marketing"
Cashforce,"Finance, Financial Services, FinTech, Software"
Spirable,"SaaS, Video"
Popsa,"Artificial Intelligence, E-Commerce, Machine Learning, Printing, Retail Technology"
Kristal.AI,"Artificial Intelligence, Asset Management, Financial Services, Trading Platform"
Laudio,Health Care
Uncharted,"Information Technology, Insurance"
AdviNOW Medical,"Artificial Intelligence, Augmented Reality, Health Care, Information Technology, Software"
Solytic,"Analytics, Clean Energy, CleanTech, Marketplace, Renewable Energy, Solar"
Scienaptic Systems,"Information Services, Information Technology"
2ULaundry,"E-Commerce, Laundry and Dry-cleaning, Logistics, Mobile"
TypingDNA,"Artificial Intelligence, Biometrics, Cyber Security, Developer APIs, FinTech, Fraud Detection, Identity Management, Software"
SARVA,"Communities, Fitness, Health Care, Lifestyle, Wellness"
Seez,"Apps, Artificial Intelligence, E-Commerce, Image Recognition, Internet, Machine Learning, Mobile, Search Engine"
RunSafe Security,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security"
Upvest,"Blockchain, Cryptocurrency, Information Services, Information Technology"
T Port Inc.,"Cloud Management, CMS, Hospitality, Hotel, Travel, Travel Accommodations"
Enapter,"Energy, Oil and Gas, Renewable Energy, Software"
The Renewal Workshop,"Fashion, Retail"
Flowbox,"B2B, Film, Software, Video"
Pavegen,"Big Data, Energy, Renewable Energy"
Lenses.io,"Big Data, Cloud Infrastructure, Data Integration, Enterprise Software, Open Source, Software"
Onco.com,Health Care
Risalto Health,"Health Care, Health Diagnostics"
CapCar,"Automotive, Autonomous Vehicles, Car Sharing, E-Commerce, Logistics, Recreational Vehicles"
Osano,"B2B, Privacy, SaaS"
Veo,"Consumer Electronics, Sports, Video"
Lavanda,"Property Management, Real Estate, Rental Property, SaaS, Sharing Economy, Software"
Maven Machines,"Electronics, Fleet Management, Sensor, Transportation, Wireless"
EquityBee,Financial Services
Okapi,"Artificial Intelligence, Asset Management, Commercial Real Estate, Property Management, Real Estate, Residential"
Iotic,"Apps, Construction, Enterprise Software, Information Technology, Internet, Internet of Things, Productivity Tools"
Flowcast,"Artificial Intelligence, Big Data, Financial Services, FinTech, Machine Learning"
TetraScience,"Cloud Computing, Enterprise Software, Internet of Things, Life Science, Software"
Apiax,"Compliance, FinTech, Information Services, Information Technology, Legal, Risk Management"
The Financial Gym,"Financial Services, Fitness, Professional Services, Sports"
Trust & Will,"FinTech, Internet, Legal"
CYFIRMA,"Artificial Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Security"
Docket,"Document Management, Document Preparation, Legal, Legal Tech"
Welcome Technologies,"Artificial Intelligence, Education, Financial Services, FinTech, Market Research, Marketing, Social Entrepreneurship"
Neurable,"Augmented Reality, Human Computer Interaction, Virtual Reality"
Rafay Systems,"Apps, Developer Platform, Information Technology, Internet, PaaS, SaaS, Software"
Amira Learning,"Artificial Intelligence, Education"
Oneiro,"Blockchain, Computer, Cryptocurrency, Professional Networking"
Picus Security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security"
Dapix,"Blockchain, Information Technology"
Envelio,"Analytics, Clean Energy, Cloud Computing, Information Services, Information Technology, SaaS, Software"
Bokio,"Accounting, Internet, Software"
m.Paani,"Business Intelligence, E-Commerce, Local Shopping, Retail Technology, Small and Medium Businesses, Social Entrepreneurship, Women's"
Geneoscopy,"Genetics, Health Care, Health Diagnostics"
1Huddle,"Enterprise Software, Gamification, Human Resources, SaaS, Training"
Kaleidofin,"Finance, Financial Services, FinTech, Risk Management"
July,"Consumer, Consumer Goods, E-Commerce, Fashion, Internet, Internet of Things, Product Design, Retail, Travel"
Jenji,"Computer, Software"
Juro,"Artificial Intelligence, Contact Management, Legal, SaaS"
DiaMonTech GmbH,"Fitness, Health Care"
DeepSig,"Artificial Intelligence, Machine Learning, Wireless"
Embrace,"Developer Tools, Enterprise Software, Mobile Apps"
Volt Lines,"Automotive, Public Transportation, Transportation"
The Zero Card,"Health Care, Hospital"
D-Orbit,"Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation"
Smart Protection,"Customer Service, Cyber Security, Intellectual Property, Legal, Legal Tech, SaaS, Security, Software"
Globacap,"Blockchain, Financial Services, FinTech"
Sprout Solutions,"Computer, Enterprise Software, Human Resources, Service Industry, Software"
HelpAround,"Health Care, mHealth"
Capmo,"Construction, Property Management, Real Estate, SaaS, Software"
PayLead,"Big Data, Billing, Loyalty Programs, Marketing, Payments"
Octi,"Augmented Reality, Computer, Social Network, Software, Video"
vHive,"Aerospace, Artificial Intelligence, CRM, Drone Management, Drones, Enterprise, Information Technology, Machine Learning, SaaS"
Bricklane.com,"Financial Services, Impact Investing, Online Portals"
N-Dream AG (AirConsole),"Internet, Mobile, Online Games"
hemea (ex-Travauxlib),"Construction, Marketplace, SaaS"
XYZ Reality,"Augmented Reality, Computer, Construction, Hardware"
Lensabl,"Consumer Goods, E-Commerce, Eyewear, Health Care"
Shapr3D,"3D Printing, 3D Technology, Apps, CAD, Industrial Engineering, Software"
Lalilo,"EdTech, Education, Reading Apps, Software, Training"
REIN,"Insurance, InsurTech, Last Mile Transportation, Robotics, Transportation"
Moteefe,"3D Printing, Digital Marketing, E-Commerce, Internet, Printing"
Hivency,"Advertising, Brand Marketing, Digital Marketing, Marketing, SaaS, Shopping, Social Media Marketing, Software"
Workiz,"CRM, Enterprise Software, Recruiting, SaaS, Small and Medium Businesses, Software"
VEDA Data Solutions,"Artificial Intelligence, Health Care, Machine Learning, Predictive Analytics"
Mr.Zoo,Tourism
Toffee Insurance,"Finance, Financial Services, Health Insurance, Insurance, InsurTech, Personal Health, Property Insurance"
Credi2 GmbH | cashpresso,"Banking, Enterprise Applications, Finance, Financial Services, Mobile, Software"
Edstart,"Application Performance Management, Education, Finance"
OneDine,"Apps, Food and Beverage, Hospitality, Leisure, Lifestyle, Mobile Apps, Mobile Payments, Retail Technology, Travel"
Starship,"Banking, Financial Services, Health Care, Internet, Mobile Apps, Mobile Payments, Payments, Personal Finance, Personal Health, Software"
DoctorLogic,"Marketing, Medical, SaaS, Software"
MioTech,"Artificial Intelligence, Finance, Financial Services, FinTech"
BEAT81,"Fitness, Mobile Apps, Training"
2hire,"Android, Apps, Automotive"
WealthKernel,"Asset Management, B2B, Developer APIs, Developer Platform, Enterprise, Finance, FinTech, Software, Trading Platform"
TrustInSoft,"Computer, Cyber Security, Network Security, Software"
CetteFamille,"Elder Care, Elderly, Professional Networking, Retirement"
Thistle,"Health Care, Organic Food, Subscription Service"
Selfapy,"Fitness, Health Care, Wellness"
lengoo,"Artificial Intelligence, Machine Learning, Translation Service"
MishiPay,"Apps, FinTech, Mobile Payments, Payments"
OnSiteIQ,"Computer Vision, Construction, Enterprise Software, Insurance, Risk Management"
Talage,"Insurance, InsurTech, SaaS, Small and Medium Businesses"
Tastewise,"Artificial Intelligence, Big Data, Fast-Moving Consumer Goods, Food and Beverage, Hospitality, Predictive Analytics, Restaurants, Retail"
StickEarn,"Advertising, Marketing"
techspert.io,"Artificial Intelligence, Consulting"
Mobilize,Software
Machfu,"Management Consulting, Software, Telecommunications"
Purchasing Platform,"E-Commerce, Internet, Procurement, Real Estate"
Rever.vn,"Information Technology, Real Estate"
Niki,"Android, E-Commerce, Machine Learning, Natural Language Processing"
Cortical.io,"Artificial Intelligence, Big Data, Enterprise Software, Information Technology, Legal Tech, Machine Learning, Natural Language Processing, Semantic Search, Software"
Senseye,"Analytics, Artificial Intelligence, Information Technology, Manufacturing, Predictive Analytics, Software"
Genially,"Content, Digital Media, Graphic Design, Presentations, Social Media, Software"
PeeSafe,"Fitness, Health Care, Wellness"
Autenti,"Information Services, Information Technology, Internet, Software"
Ride Health,"Health Care, Software, Transportation"
Silent Eight,"Artificial Intelligence, Financial Services, FinTech"
Cognigy,"Artificial Intelligence, Customer Service, Digital Marketing, Information and Communications Technology (ICT), Information Technology, Machine Learning, Natural Language Processing, Sales Automation, Virtual Assistant"
Patch Homes,"Financial Services, Real Estate"
Realized,"Commercial Real Estate, Crowdfunding, FinTech, Real Estate"
TaqTik Health,"Health Care, Medical, Wellness"
SouSmile,"Beauty, E-Commerce, Fashion, Health Care, Medical"
VPO,"Consumer Goods, Manufacturing, Product Design, Product Management"
burstIQ,"Big Data, Blockchain, Cyber Security, Health Care, Software"
Open as App,"Apps, Content Creators, Creative Agency, Customer Service, Mobile, Software, Virtual Workforce"
Klevu,"E-Commerce, Internet"
Annanow Group AG,"Consumer Goods, Information Technology, InsurTech, Logistics"
Tutorful,"E-Learning, EdTech, Education, Search Engine, Tutoring"
ekincare,"Employee Benefits, Health Care, Health Diagnostics, Wellness"
Trustpair,"Cyber Security, Software"
TemTem,"Internet, Mobile Apps, Taxi Service"
Heuritech,"Artificial Intelligence, Fashion, Machine Learning"
Flickstree,"Affiliate Marketing, Artificial Intelligence, Digital Media, Location Based Services, Video, Video on Demand, Video Streaming"
Laureti,"Autonomous Vehicles, CleanTech, Electric Vehicle, Sustainability"
BluePHA,"Agriculture, Industrial Manufacturing, Manufacturing"
BibliU,"E-Learning, Education, Publishing, Textbook"
Pixlee,"Advertising, Brand Marketing, Digital Media, E-Commerce, Mobile, Social Media"
Arctic Shores,"Artificial Intelligence, Gamification, Human Resources, Information Technology, Internet, Software"
Kovrr,"Computer, Insurance, InsurTech, Software"
Kangarootime,"Child Care, EdTech, Software"
Building Radar,"Big Data, Construction, Lead Generation"
restor3d,"3D Printing, Health Care"
Luxury Presence,"Advertising, Real Estate"
Be my eyes,"Communities, Enterprise Software, Mobile, Mobile Apps, Software, Video Streaming"
Starting 11,"Digital Entertainment, Fantasy Sports, Video Games"
VIDANYX,Cloud Computing
AlgoTrader,"Asset Management, Banking, Bitcoin, Consulting, Cryptocurrency, Information Technology, Software, Trading Platform"
AmazingCo,Events
Exact Sales,"Information Technology, Marketing, Sales, Software"
Popmenu,Internet
RazorSecure,"Cyber Security, Information Technology, Network Security, Real Time, Security, Software"
Relogix,"Business Intelligence, Information Services, Information Technology, Software"
Spotio,"Computer, Real Time, Software"
Livestorm,"B2B, Lead Management, SaaS"
atta,"Internet, Travel"
Mostly AI,"Artificial Intelligence, Big Data, Information Technology, Machine Learning, Predictive Analytics, Privacy"
Chqbook,"Finance, Financial Services, FinTech"
Gento,"Health Care, Home Health Care"
Peanut,"Apps, Communities, iOS, Leisure, Location Based Services, Messaging, Mobile Apps, Parenting, Social Network"
ZitSticka,"Brand Marketing, Cosmetics"
nOCD,"Health Care, Hospital, Mobile Apps"
Weav,"Internet, Music, Music Streaming"
Momentous,"Consumer Goods, Dietary Supplements, Nutrition, Sports"
Thingstream,"Computer, Internet, Internet of Things"
BigGo,"E-Commerce, Internet, Search Engine, Shopping"
Qunjielong,"Communities, Food and Beverage"
Maxwell Financial Labs,"Credit, Financial Services, FinTech, Real Estate"
Awign Enterprises,"Business Development, Market Research, Outsourcing"
DeadHappy,Insurance
Coassemble,"E-Learning, SaaS, Software"
Holo-Light,"Augmented Reality, Industrial, Internet of Things, Software, Virtual Reality, Wearables"
Ubeya,"Apps, Catering, Event Management, Mobile, Scheduling, Small and Medium Businesses, Software, Staffing Agency"
Crediwatch,"Artificial Intelligence, FinTech, Information Services"
Garaj Sepeti,"Automotive, Big Data, Classifieds, Mobile"
Combinostics,"Enterprise Software, Health Diagnostics, Information Technology, Robotics, Software"
Winterlight Labs,"Artificial Intelligence, Information Technology, Machine Learning, Neuroscience, Product Research, Speech Recognition"
Mixergy Ltd.,"Energy, Renewable Energy"
neptune.ai,"Analytics, Artificial Intelligence, Information Technology, Internet, Software"
Bitmark Inc.,"Computer, Internet of Things, Software"
FruitSpec,"Agriculture, AgTech"
Crowd Analyzer,"Analytics, Crowdsourcing, Social Media"
App Samurai,"Advertising, Enterprise Applications, iOS, Marketing, Mobile Apps"
Influencer,"Advertising, Marketing, Social Media Marketing"
Relectrify,"Energy, Energy Storage, Solar"
MaxWholesale,"B2B, E-Commerce, Shopping"
NexTravel,"Apps, Business Travel, Enterprise Software, Human Resources, SaaS, Small and Medium Businesses, Travel"
Yofix,"Agriculture, Food and Beverage, Manufacturing, Retail, Shopping, Wellness"
Sympower,"Electrical Distribution, Energy, Energy Management"
Beonprice,"Big Data, Business Intelligence, Cloud Computing, Hospitality, Price Comparison, Travel"
Eupheus Learning,"E-Learning, EdTech, Education"
Digital Onboarding,"Banking, Digital Marketing, Financial Services, FinTech, SaaS, Small and Medium Businesses"
Paragon Intel,"Financial Services, FinTech, IaaS, Internet, SaaS"
OfficeRnD,"Coworking, Software"
Bottega,"Higher Education, Internet, Skill Assessment, Software, STEM Education"
Coutloot,"E-Commerce, Fashion, Mobile"
TAPP Water,"Consumer Goods, Health Care, Water"
Metigy,"Artificial Intelligence, Marketing, Social Media Marketing"
KickUp,"Collaboration, Communities, Education"
Freightwalla,"Automotive, E-Commerce, Information Services, Information Technology, Internet, Software"
Hemster,"E-Commerce, Fashion"
YukStay,"Building Material, E-Commerce, Internet, Real Estate"
Log 9 Materials,"Manufacturing, Nanotechnology"
Cordmagic,Consumer
Viselio,Travel
Accusonus,"Audio, Music"
Outdoor Access,"Internet, Recreation, Service Industry, Sports"
Spark Change,"Financial Services, FinTech, GreenTech"
Neticle,"Natural Language Processing, Social Media Marketing, Text Analytics"
Collision Management Systems,"Automotive, Insurance, Software"
fleetx.io,"Fleet Management, Predictive Analytics, Software"
Coolberg,"Craft Beer, Food and Beverage"
Ccilu,"Brand Marketing, CleanTech, E-Commerce, Fashion, Golf, Manufacturing, Marketing, Recycling, Shoes, Sustainability"
HARDLOOP,"Adventure Travel, Sporting Goods, Sports"
upOwa,"Clean Energy, Environmental Consulting"
Mediação Online,"Consulting, Internet, Law Enforcement, Legal"
Betterspace,"Hospitality, Information Technology, Software"
InfoPrice,"Business Intelligence, Price Comparison, Retail Technology"
App Radar,Internet
A1A,"Computer, Manufacturing, Software"
COFE App,"Apps, Coffee, E-Commerce, Food and Beverage, Food Delivery, Internet, Marketplace, Mobile Apps, Software"
BeYouPlus (previously MyDermacy),"Beauty, Cosmetic Surgery, Health Care, Personal Health"
Dealroom.co,"Cyber Security, Finance, Information Services"
Appsilon Enterprise,"Advanced Materials, Jewelry, Nanotechnology"
BlockApps,"Bitcoin, Blockchain, Developer APIs, Developer Platform, Developer Tools, Enterprise, Ethereum"
AuB,"Fitness, Health Care, Life Science"
VCC Live,"Call Center, CRM, Software, Telecommunications"
Amped Innovation,"CleanTech, Energy, Solar"
Archilyse AG,"Analytics, Big Data, Consulting, Predictive Analytics, Property Development, Real Estate, SaaS"
Cybertonica,"Artificial Intelligence, FinTech, Fraud Detection, Machine Learning, Payments, Risk Management"
Datanomix,"Analytics, Industrial Manufacturing, Internet of Things"
AKUA,"Internet, Logistics, Security, Supply Chain Management, Transportation"
Smytten,"Content Discovery, E-Commerce, Lifestyle, Retail"
CanastaRosa,"Education, Insurance, Internet"
Taos Data,"Analytics, Data Storage, Software"
HouseME (Pty) Ltd.,"Data Center Automation, Digital Media, Digital Signage, Industrial Automation"
"Real Coconut Co., Inc.",Food and Beverage
PrivyID,"Identity Management, Information Technology"
3D Repo,"3D Technology, Software"
Pej,"Apps, Finance, Information Technology"
Clir Renewables,"Renewable Energy, Software"
FableStreet,"E-Commerce, Fashion"
Mynt,"Finance, FinTech, Lending, Small and Medium Businesses"
Ipoweru.cn,"Education, Training"
MediCheck,"Health Care, Information Technology"
MeetFrank,"Apps, Human Resources, Recruiting"
Bosta,"Courier Service, Information Technology, Logistics, Transportation"
HalalBooking.com,"E-Commerce, Marketing, Tourism, Travel"
BAGBNB,"Hospitality, Leisure, Sharing Economy, Tourism, Travel"
Move This World,"E-Learning, EdTech, Education, Wellness"
Samosa Singh,"Food and Beverage, Food Delivery, Food Processing, Snack Food"
Seeloz Inc.,"Artificial Intelligence, Big Data, Business Intelligence, Enterprise Software, Machine Learning, Software"
SEaB Energy,"Clean Energy, Energy, Renewable Energy, Waste Management"
VROMO,"Content Delivery Network, Enterprise Software, Food Delivery, Logistics, Same Day Delivery, Software, Supply Chain Management"
Fodel,"Computer, E-Commerce"
Cherdak,"E-Commerce, Internet, Internet of Things"
Meddy,"Health Care, Information Technology"
QunaSys,"Computer, Consulting, Information Technology, Software"
Codota,"Artificial Intelligence, Developer Tools, Search Engine, Software"
KoRo,"Food and Beverage, Food Delivery, Food Processing, Information Technology"
KnowledgeHook,"E-Learning, EdTech, Education, Software, Tutoring"
Outernets,"Ad Targeting, Advertising Platforms, Marketing Automation, Retail Technology"
Scaeva Technologies,"Cyber Security, Music"
Discover Film,"Apps, Film Distribution, Media and Entertainment, Video Streaming"
DiviPay,"FinTech, Mobile Payments, Payments"
Bin-e,"Artificial Intelligence, CleanTech, Facility Management, Information Technology, Internet of Things, Recycling, Smart Building, Software, Waste Management"
realxdata,"Big Data, Commercial Real Estate, Machine Learning"
Recoup Fitness,"Alternative Medicine, B2C, Direct Sales, Fitness, Home Health Care, Lifestyle, Personal Health, Therapeutics, Wearables, Wellness"
Stae,"CRM, Data Integration, Information Technology, Software"
Technis,"Artificial Intelligence, Information Services, Infrastructure"
Drivemate,"Car Sharing, Peer to Peer, Service Industry"
ALLSENSE Technology,"Enterprise, Industrial"
SENS Foods,"Food and Beverage, Snack Food"
myHQ,"Collaboration, Communities, Coworking, Food and Beverage, Hospitality, Real Estate, Sharing Economy"
Moygorod,"Android, Information Technology, Internet, iOS"
Infinity Stones (InfStones),"Cloud Computing, Cloud Management"
Base Operations,"Big Data, Information Technology, Security, Software, Travel"
MPost,"Mobile, Mobile Apps"
Captini,"Big Data, Internet, Marketing Automation, Social Media Marketing, Wireless"
Frontastic,"Computer, E-Commerce, Software"
Agents1,"Collaboration, Commercial Real Estate, CRM, Freemium, Internet, Property Management, Real Estate Investment, SaaS"
HeyTeam,"Computer, Internet"
Magentiq Eye Ltd,"Computer, Health Care, Health Diagnostics, Information Technology, Video"
trezi,"Architecture, Construction, Real Estate, Software, Virtual Reality"
Ruixun Biotech,Health Care
DCEX,"Blockchain, Cryptocurrency, Financial Services, Internet"
WaterView,"Autonomous Vehicles, Big Data, Computer, Computer Vision"
Daytrip,"Guides, Space Travel, Tourism, Transportation, Travel"
True Made Foods,"Food and Beverage, Food Processing"
Intelligence Retail,"Artificial Intelligence, Big Data, Computer Vision, Image Recognition, Information Technology, Retail Technology"
Ever Health,"Child Care, Health Care, Medical, Nutrition, Psychology"
VergeSense,"Artificial Intelligence, Hardware, Sensor"
SNAPnSAVE,"Apps, Marketing, Shopping"
UpUdate,"E-Commerce, Lifestyle, Mobile Apps, Service Industry, Social Media, Software"
Skipcart,"Delivery, Delivery Service, E-Commerce, Food Delivery, Grocery, Logistics, Same Day Delivery, Transportation"
Saturnbird Coffee,"Coffee, E-Commerce"
GoSun,"CleanTech, Consumer Goods, Energy Efficiency, Impact Investing, Outdoors, Renewable Energy, Solar, Sustainability"
Printerous,"Art, E-Commerce, Printing"
Sippd,"Food and Beverage, Information Technology, Mobile Apps, Restaurants, Wine And Spirits"
Healthy Bytes,Health Care
FlexClub,"Fleet Management, Rental, Small and Medium Businesses, Subscription Service"
Smartrenting,"Real Estate, Rental"
Infinidome LTD (GPSDOME),"Autonomous Vehicles, Cyber Security, Drones, GPS, Homeland Security"
ChatBook,"Advertising, Internet of Things"
Say Allo,"Apps, Artificial Intelligence, Dating, Machine Learning, Mobile Apps, Social Media, Social Network"
RocketBody,"Apps, Artificial Intelligence, Fitness, Health Care, Machine Learning"
Alicerce,"EdTech, Education, Social Impact, STEM Education"
Moovaz,"Blockchain, Human Resources, Information Technology, Internet, Logistics"
SkinRun,"Artificial Intelligence, Beauty, Hardware, Machine Learning, Retail Technology"
Aidemy,"Artificial Intelligence, Education, Internet"
Radium,"Artificial Intelligence, Cloud Computing, Cloud Infrastructure, Information Technology, Machine Learning, Software"
TakeTask,"Crowdsourcing, Market Research, Productivity Tools, SaaS, Task Management"
Farmote Systems,"Agriculture, Electronics, Internet of Things"
Blackwatch Digital,"Cloud Security, Cryptocurrency, Cyber Security, Enterprise Software, FinTech, Information Technology, Software"
Yielders,"Consumer Lending, Crowdfunding, Financial Services, Lending"
Evoke Electric Motorcycles,"Automotive, Consumer Electronics, Electronics, Embedded Software, Energy Management, Energy Storage, Hardware, Manufacturing, Software"
Brimore,Manufacturing
StackFuel,"Information Technology, Smart Home, Training"
Shipshape Urban Farms,"Agriculture, AgTech, Data Integration"
ChallengeRocket,"Artificial Intelligence, Crowdsourcing, Human Resources, Predictive Analytics"
FinChatBot,"Computer, Financial Services, FinTech"
Smiling Video,"Innovation Management, Media and Entertainment"
Instarea,"Analytics, Big Data, Database, Developer APIs, Geospatial, GPU, Location Based Services, Mobile Advertising, SMS"
Refract,"Artificial Intelligence, E-Learning, SaaS, Sales, Video"
Boxit,"E-Commerce, Innovation Management, Internet, Logistics, Product Design"
QikkDB - GPU accelerated database,"Big Data, Data Integration, Data Visualization, Database, Developer Tools, Enterprise Software, Geospatial, GPU, Information Technology"
WORKHANDS,"Human Resources, Information Technology, Software"
HiCustomer,SaaS
WEED.APP,"Cannabis, Digital Marketing"
Momentum Learning,"Education, Training"
ZeroQs,"Direct Marketing, FinTech, Hardware, Information Technology, Marketing Automation, Retail, Retail Technology, Software"
STYX,"Industrial Automation, Logistics, SaaS, Transportation"
theklicker,"E-Commerce, Information Services, Internet, Online Portals"
buseet,"Mobile Apps, Transportation"
CrowdForce,"Blockchain, Database, Financial Services, FinTech, Mobile"
Grid Edge,"Artificial Intelligence, Environmental Consulting, Renewable Energy, Software"
LifeBank,"Health Care, Hospital"
Blue Power Systems,"Battery, Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Management, Energy Storage, Renewable Energy, Solar, Wind Energy"
AgentApp,"E-Commerce, Internet"
CredPal,"Financial Services, FinTech"
Goparrot,"Artificial Intelligence, Food and Beverage, Information Technology, Software"
VERKOOP,"E-Commerce, Internet, Mobile Apps, Software"
Gear Focus,"E-Commerce, Marketplace"
Sheerly Genius,"Fashion, Lifestyle, Wearables, Women's"
Pocket Cocktails,"Food and Beverage, Food Delivery, Wine And Spirits"
VISARIGHT,"Enterprise Software, Human Resources, Information Technology, Software"
Choice Home Mortgage,"FinTech, Insurance, Real Estate, Real Estate Investment"
hoolah,FinTech
Chargetrip,"Electric Vehicle, Navigation, Predictive Analytics, Software"
StakerDAO,"Asset Management, Cryptocurrency, Finance"
TechNode,"Internet, News"
epilot,"B2B, Cloud Computing, E-Commerce, Energy, Enterprise Software"
Nammu21,"Analytics, Financial Services"
BulkWhiz,"Artificial Intelligence, E-Commerce, Grocery, Retail"
DiligenceVault,"Financial Services, Hedge Funds, Venture Capital"
OneLocal,"Apps, CRM, SaaS, Software"
MagicBus,"Business Information Systems, Railroad, Transportation"
Edukasyon.ph,"EdTech, Education, Higher Education, Training, Universities"
farMart,"Agriculture, Farming, Social Entrepreneurship"
Keleya,"Lifestyle, Nutrition, Wellness, Women's"
troy,"CRM, Marketing"
Carbon Masters,Internet
Sallve,"Consumer Goods, E-Commerce, Fashion, Web Design"
Wiferion,"Battery, Energy, Energy Efficiency, Energy Management, Energy Storage, Industrial Automation, Manufacturing, Wireless"
Funatix Club,"Fantasy Sports, Media and Entertainment, Online Games"
NEODIGITAL,"Insurance, InsurTech"
Bellugg,Delivery Service
BigOne Lab,"Big Data, Business Intelligence, Financial Services, FinTech"
CuidaMiMascota,"Internet, Pet"
Carzaty,Automotive
Crashtest Security,"Artificial Intelligence, Computer, Information Technology, Network Security"
TopCV,Staffing Agency
eliso,"Automotive, Electric Vehicle, Information Technology, Infrastructure, Software, Transportation"
Mary Agrotechnologies,"Agriculture, Artificial Intelligence, Cannabis, Farming, Internet of Things"
deviceTRUST,"Computer, Software"
PandaCredit,"Credit, Finance, FinTech, Internet, SaaS, Software"
Swiich B.I Core Systems Ltd.,"Banking, FinTech, Mobile Payments"
Arpac Drones,"Agriculture, AgTech, Drones, Geospatial, Hardware"
C-Major Medical,"Health Care, Medical"
SponsorChampz,"Advertising, Marketing"
English Wonderkid,"EdTech, Education"
Youshupai,"Enterprise, Software"
ZiYun Cloud,"Cloud Computing, Internet, Internet of Things, Software"